顺位,用时,开始时间,牌普,一号玩家,一位得点,二号玩家,二位得点,三号玩家,三位得点,四号玩家,四位得点
4位,33,2019-10-24 11:43:00,,！ぼたもち！,54.0,奥縄,11.0,魔法騎士トード,-15.0,TK-Y,-50.0
4位,13,2019-10-24 13:19:00,,LLSS,47.0,sawadhi,15.0,！ぼたもち！,-19.0,Hooo,-43.0
4位,24,2019-10-24 14:42:00,,！ぼたもち！,50.0,山崎ss,20.0,Sumire,-15.0,NoName,-55.0
4位,42,2019-10-24 15:07:00,,！ぼたもち！,46.0,アナンダ,12.0,manat22,-20.0,zunzura,-38.0
4位,34,2019-10-24 16:53:00,,みんあきら,44.0,！ぼたもち！,6.0,NoName,-17.0,月の下,-33.0
4位,36,2019-10-25 11:44:00,,！ぼたもち！,51.0,こんそめあじ,11.0,ayata,-13.0,玉葱,-49.0
4位,18,2019-10-25 17:09:00,,！ぼたもち！,53.0,ryusai3,2.0,しろねこ,-19.0,ukiyuki,-36.0
4位,26,2019-10-25 22:45:00,,萩,42.0,30歳以上は老害,12.0,選択の自由,-20.0,！ぼたもち！,-34.0
4位,27,2019-10-27 09:52:00,,！ぼたもち！,61.0,BｙSORT,15.0,Marki,-23.0,NoName,-53.0
4位,30,2019-10-27 20:27:00,,！ぼたもち！,43.0,キュベリカ,13.0,あきとひろん,-22.0,masa2727,-34.0
4位,31,2019-10-28 00:26:00,,future4,55.0,falcom1,18.0,qwert123,-22.0,！ぼたもち！,-51.0
4位,20,2019-10-28 06:49:00,,！ぼたもち！,49.0,mecochan,13.0,CASA,-26.0,haruyuuu,-36.0
4位,11,2019-10-28 11:51:00,,NoName,49.0,endless,5.0,NoName8,-21.0,！ぼたもち！,-33.0
4位,25,2019-10-28 12:03:00,,！ぼたもち！,45.0,NoName,5.0,Freesia_,-17.0,takkun52,-33.0
4位,16,2019-10-28 15:21:00,,NoName,47.0,！ぼたもち！,14.0,リスペクトもこう,-20.0,もじゃぶう,-41.0
4位,29,2019-10-30 01:38:00,,！ぼたもち！,60.0,NoName,14.0,TM460626,-27.0,玉５６,-47.0
4位,32,2019-11-01 06:43:00,,なななな,45.0,！ぼたもち！,11.0,NoName,-18.0,箱下あおちい,-38.0
4位,17,2019-11-01 09:33:00,,ラピ,55.0,hashimo,3.0,メイア少尉,-18.0,！ぼたもち！,-40.0
4位,26,2019-11-01 12:11:00,,ゴテンクス,54.0,！ぼたもち！,17.0,ミーネー,-25.0,NoName,-46.0
4位,24,2019-11-01 15:04:00,,玉琳,58.0,izumokai,0.0,！ぼたもち！,-22.0,NoName,-36.0
4位,35,2019-11-02 00:29:00,,Raccoons,64.0,NoName,-2.0,！ぼたもち！,-25.0,アポ,-37.0
4位,37,2019-11-02 06:38:00,,レイトルギア,59.0,！ぼたもち！,7.0,Milkyway,-24.0,NoName,-42.0
4位,31,2019-11-02 13:09:00,,笑楽師,50.0,マジぽてと,19.0,！ぼたもち！,-23.0,ちゃす,-46.0
4位,9,2019-11-02 17:30:00,,！ぼたもち！,48.0,seedsky,18.0,Raven07,-12.0,うるし1027,-54.0
4位,37,2019-11-02 17:41:00,,雅san,47.0,！ぼたもち！,11.0,RUSTY,-23.0,もふもふ17,-35.0
4位,24,2019-11-03 09:23:00,,安藤めいりん卍,60.0,！ぼたもち！,10.0,NoName,-28.0,ゆゆうた,-42.0
4位,34,2019-11-03 19:52:00,,ミチオ,56.0,Creator,2.0,ぬるり,-23.0,！ぼたもち！,-35.0
